Week,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
2018-11-18,60,78,70,66,55,60,64,37,28,52,63,49,64,74,69,65,60,34,45,63,67,63,65,51,68,61,46,52,65,62,48,66,60,53,64,63,71,61,40,54,65,39,56,65,38,61,64,59,63,28
2018-11-25,87,70,68,100,74,73,70,58,37,63,57,77,76,88,93,80,75,43,72,77,78,76,76,67,81,83,59,81,95,82,63,78,78,64,76,86,82,72,84,79,68,48,83,77,49,74,80,84,87,78
2018-12-02,83,49,76,90,73,72,75,72,35,70,64,78,72,97,85,90,74,47,61,79,78,85,80,67,75,67,69,73,77,76,53,75,79,58,81,83,72,88,65,74,80,43,83,76,76,70,82,83,83,66
2018-12-09,73,61,79,89,75,80,77,61,37,63,83,81,81,91,97,82,70,45,84,71,71,86,72,59,90,68,64,63,73,78,60,71,68,70,83,84,80,78,50,66,97,45,83,86,55,66,73,75,88,60
2018-12-16,62,50,67,60,66,71,71,40,33,61,72,75,71,72,82,71,67,44,72,77,81,82,71,44,78,57,62,68,60,75,45,68,76,73,71,75,72,77,59,62,95,44,64,63,48,65,76,72,95,50
2018-12-23,46,36,53,44,51,52,49,28,27,51,41,38,57,59,59,54,42,34,56,61,54,58,54,48,61,54,50,59,53,52,43,61,54,23,55,52,54,57,40,49,21,36,48,64,42,59,64,49,59,26
2018-12-30,66,52,61,56,49,59,64,24,29,50,37,43,57,61,60,60,60,39,54,67,69,64,65,48,68,59,46,56,55,65,42,70,64,53,64,59,64,73,57,67,60,36,52,63,41,58,67,47,67,48
2019-01-06,64,55,77,73,65,71,73,54,30,65,60,57,68,79,91,76,73,42,49,81,67,77,71,58,72,56,65,69,72,76,55,68,69,66,79,66,77,72,69,64,69,43,66,80,64,68,75,69,72,75
2019-01-13,86,63,76,70,73,70,78,63,35,67,59,59,73,90,84,90,73,44,53,77,72,80,64,65,78,83,63,77,73,79,63,66,69,52,75,85,79,75,74,71,75,47,72,71,56,66,82,71,81,79
2019-01-20,76,53,69,71,68,70,69,53,34,61,74,74,66,84,65,70,74,39,52,74,70,75,58,64,84,85,50,77,46,71,72,59,64,65,71,76,79,64,53,73,61,41,69,71,36,65,74,70,69,66
2019-01-27,83,55,83,83,75,81,67,66,36,62,66,80,67,78,59,91,75,47,69,67,76,58,66,65,77,52,66,74,68,67,64,62,73,49,67,89,77,73,68,85,54,42,72,82,64,68,79,64,57,52
2019-02-03,83,55,83,86,78,74,74,63,38,75,87,79,84,91,82,71,78,48,51,89,83,70,81,67,86,76,57,64,79,76,64,74,71,57,92,78,71,75,65,91,62,44,73,84,34,81,68,76,74,34
2019-02-10,77,54,81,75,74,75,76,51,35,74,77,69,85,89,77,74,68,50,64,78,83,77,76,59,92,86,67,74,70,72,71,74,72,59,80,74,79,75,57,90,71,49,75,76,61,85,70,87,89,70
2019-02-17,82,91,82,81,77,83,71,64,37,68,77,70,88,89,98,76,79,46,41,71,70,80,76,60,96,82,55,62,62,76,57,65,75,51,76,71,84,71,53,95,72,40,77,85,52,81,74,76,96,77
2019-02-24,82,56,90,70,82,82,79,61,36,70,70,66,86,79,92,73,83,44,60,80,87,79,81,66,81,69,65,80,54,74,67,77,78,73,81,78,76,83,61,100,63,44,76,74,61,84,90,87,84,52
2019-03-03,91,77,89,76,83,89,89,91,41,74,59,65,100,92,86,95,82,35,68,84,83,84,92,65,87,83,73,90,68,78,74,82,85,88,87,83,80,87,77,95,65,52,82,94,42,89,92,71,98,55
2019-03-10,80,72,79,82,83,75,78,68,36,73,76,87,89,85,79,68,78,53,61,92,80,80,84,44,78,64,52,78,83,82,65,80,84,48,80,83,80,75,75,88,61,50,66,74,50,81,83,67,84,58
2019-03-17,81,61,79,58,85,91,82,45,33,69,67,85,85,89,72,80,91,43,94,90,84,83,83,68,79,78,54,90,79,80,64,86,93,59,78,69,80,78,69,94,70,45,79,79,63,100,77,80,83,100
2019-03-24,75,72,88,74,75,78,83,70,36,61,58,70,65,73,73,78,76,44,79,84,77,72,72,54,82,82,61,77,58,79,60,84,82,44,71,72,64,79,70,93,78,42,83,83,53,82,78,79,75,40
2019-03-31,81,55,78,83,74,87,72,64,35,57,79,60,77,74,84,78,56,46,69,84,77,69,82,51,93,70,57,79,64,78,66,83,85,52,76,65,72,74,68,85,71,46,83,74,45,80,69,61,97,49
2019-04-07,73,64,86,71,71,73,72,81,36,67,77,67,73,90,89,82,70,46,73,73,70,71,77,55,76,64,53,96,69,73,49,76,84,48,76,69,90,78,79,85,59,42,81,76,40,84,69,72,89,79
2019-04-14,70,64,76,79,66,79,56,83,35,58,53,61,66,81,75,83,64,39,59,62,64,73,79,51,71,66,62,62,62,65,54,67,69,38,71,83,67,67,50,61,49,47,74,74,30,64,77,69,78,78
2019-04-21,77,46,84,79,71,79,79,50,36,63,82,69,72,80,83,83,70,41,70,71,72,75,74,63,73,68,62,69,41,65,61,66,76,52,67,64,70,71,73,81,61,49,80,76,62,73,78,58,78,83
2019-04-28,82,48,81,76,70,69,73,83,36,63,85,77,78,76,95,80,69,38,60,74,80,71,79,60,77,54,56,79,73,76,59,73,83,43,73,71,74,73,76,78,70,44,83,63,47,70,81,71,80,68
2019-05-05,68,50,77,62,73,81,70,53,33,59,81,66,71,66,89,67,72,43,69,73,77,71,83,58,79,64,58,77,60,76,54,75,81,47,69,67,65,72,49,74,49,38,73,63,37,69,77,70,85,64
2019-05-12,61,54,76,62,69,74,65,53,33,55,48,59,67,71,80,78,55,43,49,69,63,66,69,61,74,53,49,91,71,62,54,66,68,32,66,63,70,61,70,69,76,36,72,68,38,64,73,46,80,39
2019-05-19,59,54,71,59,71,66,65,46,34,53,58,56,62,77,77,56,69,43,58,59,63,60,71,47,71,43,55,60,73,62,58,69,71,50,67,60,61,61,64,63,49,38,67,65,24,68,70,60,70,41
2019-05-26,57,9,63,56,68,61,69,48,31,46,61,68,60,59,75,62,57,37,65,63,62,60,60,47,57,57,43,53,69,67,44,67,67,41,56,54,72,65,35,63,45,35,57,63,63,64,82,47,60,57
2019-06-02,51,56,62,40,63,56,64,53,28,44,59,58,58,57,61,43,58,32,50,66,59,68,55,47,56,67,44,55,58,64,39,61,57,43,54,61,65,65,72,51,69,35,56,56,31,62,82,59,62,49
2019-06-09,66,31,55,54,52,59,68,54,29,49,48,42,52,54,44,60,52,34,42,60,56,55,53,43,56,47,47,53,36,53,48,58,52,42,52,57,64,58,51,51,68,33,53,55,42,64,73,49,53,30
2019-06-16,54,35,60,46,54,55,43,37,28,49,55,48,53,57,58,56,47,41,48,54,56,53,55,44,57,50,45,69,53,55,47,54,55,74,56,60,50,57,43,48,67,33,58,58,36,46,60,47,54,74
2019-06-23,64,39,65,54,56,56,49,52,29,48,66,45,54,59,59,48,47,39,50,60,57,53,51,50,59,70,51,62,46,46,51,51,62,37,56,63,54,57,42,49,35,34,52,50,34,51,57,45,54,27
2019-06-30,58,27,59,49,48,57,51,22,26,47,59,58,45,49,46,56,42,40,34,46,54,47,46,45,56,25,37,53,55,48,50,45,51,51,48,56,50,57,38,41,73,34,49,49,35,49,48,48,54,34
2019-07-07,73,47,50,57,53,55,53,41,38,54,48,53,49,59,53,60,56,55,40,54,50,54,50,64,60,46,40,53,40,48,46,55,57,41,56,57,63,57,42,54,44,34,67,56,41,56,60,39,62,47
2019-07-14,59,40,56,60,53,50,40,45,31,49,56,60,48,57,54,48,47,36,43,57,49,47,52,47,57,50,38,48,43,45,45,53,54,32,58,53,57,57,41,53,48,36,52,59,37,53,61,60,47,11
2019-07-21,68,36,60,57,52,48,53,55,39,53,35,64,56,57,51,47,51,42,41,57,56,52,56,46,59,38,45,53,43,51,44,56,66,52,58,62,60,57,39,50,45,37,57,61,28,60,66,57,54,51
2019-07-28,67,37,61,46,52,53,60,60,37,51,68,46,57,54,53,64,52,33,38,58,57,60,52,46,53,50,42,52,47,53,39,57,57,31,59,63,59,59,48,51,35,32,55,61,46,56,67,57,64,46
2019-08-04,62,58,59,54,51,53,49,50,29,51,75,47,50,62,46,58,50,38,42,64,54,50,51,46,58,27,41,53,38,50,43,53,57,34,53,57,54,59,20,51,52,30,53,57,34,52,59,48,47,49
2019-08-11,56,38,63,43,53,53,52,45,26,49,33,36,49,57,53,52,53,40,41,55,47,53,48,55,57,52,25,49,42,52,47,52,52,33,57,56,60,56,44,45,49,34,48,61,19,51,52,49,59,55
2019-08-18,57,40,61,58,54,50,47,36,35,54,40,50,57,59,57,53,57,38,27,52,56,46,49,52,62,55,39,59,39,51,49,57,61,36,58,63,57,56,42,57,32,38,51,57,26,50,58,45,47,48
2019-08-25,62,38,66,56,51,56,51,43,32,52,55,55,56,62,50,44,60,41,29,61,50,55,47,37,55,50,43,67,46,47,52,53,57,28,59,59,56,62,46,49,61,32,55,63,36,59,49,53,53,33
2019-09-01,71,63,68,50,54,55,50,49,31,48,61,47,53,57,49,60,51,37,60,52,56,46,49,40,60,38,50,60,33,50,45,53,54,55,58,65,50,58,56,46,38,39,61,55,25,53,56,59,48,37
2019-09-08,61,41,61,67,60,59,56,57,44,58,77,53,60,67,64,65,61,44,47,63,62,62,55,61,64,34,46,56,51,57,45,58,70,44,65,66,60,59,56,63,60,37,64,61,22,60,58,60,58,71
2019-09-15,71,65,68,70,62,69,61,48,39,59,53,51,63,71,65,61,64,45,46,69,63,65,62,62,66,48,52,54,53,64,53,57,70,61,65,73,57,61,52,69,50,42,87,70,40,63,73,74,67,53
2019-09-22,70,39,70,54,63,75,58,60,34,55,73,68,60,69,60,76,54,44,59,67,66,57,64,62,67,72,48,56,42,64,48,59,73,41,66,64,54,65,60,70,50,37,67,64,63,65,59,65,65,42
2019-09-29,81,50,74,67,63,68,63,66,33,63,60,71,63,79,78,63,67,36,54,65,65,65,65,62,65,48,54,62,70,62,57,64,66,61,65,72,68,72,78,66,61,41,67,66,35,63,69,69,69,47
2019-10-06,64,73,73,65,62,66,71,67,34,59,35,67,67,74,72,65,60,47,46,75,71,66,71,57,70,55,56,72,56,59,62,69,74,75,65,69,75,73,59,59,71,39,67,65,49,70,67,59,69,63
2019-10-13,83,51,77,70,65,73,63,50,35,63,60,77,64,70,83,75,64,43,73,78,71,63,65,62,87,56,66,85,56,71,44,66,78,59,66,77,66,69,65,67,62,42,69,74,48,66,73,72,79,50
2019-10-20,64,51,79,62,67,76,74,57,33,65,68,78,67,76,84,74,66,44,54,74,73,71,62,63,73,68,58,66,71,71,59,68,73,52,68,67,71,71,67,69,48,42,69,72,44,66,73,60,66,53
2019-10-27,70,46,73,61,61,70,65,58,32,62,60,76,64,77,82,75,68,40,54,68,76,72,73,52,64,68,50,75,60,69,65,66,75,64,65,75,67,67,63,65,56,48,66,77,54,66,77,79,71,40
2019-11-03,77,60,73,65,67,80,76,49,32,64,60,82,68,78,69,76,67,40,68,76,84,69,66,61,81,80,67,71,60,65,51,65,78,49,74,69,73,72,59,65,57,46,73,66,58,72,84,65,73,60
2019-11-10,77,38,66,72,65,85,68,56,33,71,60,73,70,77,79,82,67,42,52,74,76,66,75,59,69,66,55,67,74,72,66,67,70,78,72,71,73,71,77,69,77,42,76,73,62,74,69,81,84,56
2019-11-17,75,65,79,69,70,75,70,66,34,71,60,69,75,78,83,71,66,43,58,82,73,70,72,65,69,63,54,62,78,75,49,73,79,77,76,79,75,70,60,74,63,50,79,73,53,71,83,73,82,71
2019-11-24,56,64,57,47,48,55,51,48,29,51,44,49,59,67,59,58,54,33,69,65,58,55,58,34,66,65,46,44,39,60,43,58,61,57,57,47,59,60,58,53,59,40,49,54,38,59,63,49,62,17
2019-12-01,80,49,66,71,69,78,71,62,35,63,63,67,73,79,78,83,67,44,66,73,68,74,71,57,76,62,57,73,57,67,54,66,76,59,69,66,77,69,64,65,65,44,79,75,47,69,77,74,75,69
2019-12-08,72,48,73,64,71,71,70,81,35,62,57,89,67,82,71,77,62,41,69,66,71,72,72,57,77,65,50,77,43,76,54,69,73,54,77,74,75,70,55,61,92,47,75,78,44,72,77,81,82,48
2019-12-15,58,73,59,58,60,67,54,46,28,54,57,79,63,66,68,60,68,34,64,64,68,62,68,44,62,58,65,57,52,71,52,63,58,58,68,61,66,63,48,53,50,37,61,59,34,59,70,61,68,37
2019-12-22,49,35,47,53,44,47,48,48,23,43,36,42,51,53,48,41,40,30,49,51,49,50,45,41,49,40,33,45,31,46,32,45,51,36,49,47,48,50,39,46,17,29,46,48,15,45,55,51,52,56
2019-12-29,49,37,52,52,47,55,54,40,24,43,54,44,53,54,58,57,53,31,59,49,57,51,55,35,61,47,42,51,56,56,44,55,57,45,54,54,60,58,49,46,46,31,51,62,18,52,61,58,61,22
2020-01-05,60,62,68,58,59,65,62,52,31,57,36,71,63,68,74,64,69,35,53,67,74,66,66,46,77,51,47,66,65,66,57,63,61,50,70,67,72,66,62,52,78,38,59,71,39,63,73,50,72,55
2020-01-12,70,59,70,67,65,65,63,55,31,61,69,73,74,80,77,69,63,40,52,73,62,72,60,50,64,44,42,73,61,69,66,65,67,78,79,66,70,60,63,56,64,38,62,80,53,67,63,66,83,46
2020-01-19,81,58,66,65,66,72,65,57,32,60,77,61,72,72,73,75,62,37,49,69,64,71,63,50,65,50,47,59,61,63,55,60,64,67,71,65,72,67,53,58,52,34,63,79,31,65,71,64,67,29
2020-01-26,76,41,76,86,68,76,59,64,32,59,63,71,78,81,78,77,71,39,48,67,66,70,72,48,79,75,50,71,56,68,78,66,68,50,75,77,67,70,57,65,85,43,69,73,48,66,79,81,72,64
2020-02-02,71,48,88,70,70,71,68,52,33,66,59,68,72,79,73,74,61,38,73,73,72,73,68,56,75,49,55,65,66,68,62,71,71,68,74,71,72,65,84,61,68,43,67,73,48,64,84,64,76,53
2020-02-09,78,51,82,66,68,78,72,64,33,68,69,66,74,84,74,73,65,48,67,75,74,68,76,62,73,75,57,69,78,73,67,74,72,49,72,74,82,66,67,74,64,40,69,88,44,68,71,64,79,60
2020-02-16,76,62,83,75,81,77,74,63,32,65,59,65,78,73,95,61,72,42,51,82,65,69,72,60,83,47,57,67,67,67,76,64,75,74,79,79,77,69,54,70,71,47,72,79,39,75,71,61,79,52
2020-02-23,84,62,80,68,73,77,72,53,34,68,59,100,80,79,82,81,68,38,55,73,76,65,80,57,76,68,54,77,39,70,46,74,84,71,79,75,77,75,62,73,78,43,76,71,42,79,88,74,89,43
2020-03-01,83,62,83,72,76,76,76,47,34,65,81,67,79,82,81,77,75,47,72,77,64,67,76,53,84,75,66,67,70,68,62,73,77,74,75,77,70,67,74,75,55,41,75,75,53,71,76,62,78,78
2020-03-08,78,50,65,83,70,77,67,52,32,60,70,76,76,75,79,67,68,45,50,72,64,66,63,46,68,79,50,77,61,66,60,77,75,45,64,60,68,64,59,84,57,45,61,77,50,76,75,61,76,54
2020-03-15,69,49,75,79,72,80,69,62,39,73,69,81,79,76,74,74,72,44,56,79,70,72,71,61,73,55,60,83,60,73,65,87,79,50,80,66,85,75,68,78,52,43,72,78,43,73,78,64,83,70
2020-03-22,74,45,78,70,74,79,84,59,36,66,72,67,72,64,62,65,80,46,60,72,76,66,57,60,66,72,58,96,66,72,51,92,86,42,70,67,68,76,67,83,68,45,84,90,59,72,82,62,75,91
2020-03-29,79,59,85,66,73,86,76,63,40,60,58,76,73,73,59,78,75,46,64,77,71,63,74,64,74,84,49,86,67,79,59,91,79,55,66,70,66,73,67,78,67,42,88,88,62,71,78,50,81,54
2020-04-05,76,70,84,69,73,84,71,56,39,65,79,80,74,75,66,86,65,39,71,80,70,66,80,52,79,63,56,80,83,72,61,87,80,69,67,76,69,71,73,79,53,43,85,76,51,70,67,66,78,62
2020-04-12,68,65,82,65,64,79,69,72,42,60,60,66,74,72,64,71,67,42,73,77,72,62,79,62,70,69,64,78,75,66,75,87,72,56,70,85,77,75,70,69,72,42,83,90,50,72,74,62,83,59
2020-04-19,76,44,87,76,68,79,75,86,39,61,85,78,72,66,73,60,70,40,55,75,61,66,83,53,73,52,53,71,63,69,64,91,84,61,71,76,75,73,58,76,69,41,86,80,52,75,76,58,80,65
2020-04-26,72,47,82,62,78,73,83,70,39,65,83,79,75,69,71,75,69,44,58,74,74,62,70,62,73,65,57,73,65,74,63,87,83,71,77,65,76,75,49,85,43,39,82,73,54,69,78,72,87,42
2020-05-03,67,36,72,70,69,81,69,60,39,57,68,68,75,66,61,68,66,40,65,81,69,64,80,58,70,60,55,77,66,75,64,87,69,46,66,70,67,75,66,67,56,39,79,62,66,70,72,55,78,74
2020-05-10,66,65,67,56,69,74,69,52,40,55,77,65,75,75,63,75,60,36,49,76,65,59,70,50,66,62,47,77,62,72,70,83,74,83,65,61,80,69,54,77,58,38,73,74,32,64,82,63,77,56
2020-05-17,54,38,74,56,67,66,62,55,36,50,65,65,61,65,59,59,49,37,55,68,62,57,65,36,68,58,48,60,57,58,51,67,64,50,57,51,66,67,48,60,48,37,63,67,33,57,80,47,65,36
2020-05-24,50,21,51,41,60,55,59,62,31,45,72,54,56,56,53,65,42,33,46,60,58,52,54,44,48,46,42,62,46,61,42,58,62,36,54,58,63,59,41,59,62,35,56,59,65,61,66,36,56,18
2020-05-31,55,40,55,51,49,53,56,24,30,44,50,40,46,48,40,50,49,51,52,54,53,52,45,47,52,32,31,53,46,54,42,59,52,23,48,60,65,49,41,50,19,33,60,54,32,43,59,31,48,39
2020-06-07,58,35,59,47,53,50,54,48,30,47,53,46,54,55,55,55,50,32,40,61,52,50,45,39,50,50,36,67,42,50,45,61,50,22,50,55,66,53,55,47,38,31,55,59,21,45,62,39,66,24
2020-06-14,57,45,55,55,60,59,50,48,28,51,44,60,51,54,55,64,46,32,47,57,50,47,55,42,55,50,35,49,61,53,36,57,54,15,53,46,58,55,46,49,37,34,57,63,30,52,67,43,50,42
2020-06-21,61,50,55,53,58,56,51,49,30,49,58,52,53,62,61,59,46,36,42,54,49,52,57,47,66,38,31,53,47,51,44,56,56,27,55,51,46,55,46,54,51,36,58,61,34,55,50,36,49,40
2020-06-28,60,60,65,50,61,49,48,42,29,49,51,44,52,58,50,51,45,39,32,53,53,43,49,38,54,53,44,60,56,53,51,55,52,13,51,68,58,56,45,44,45,34,55,55,39,49,57,45,53,19
2020-07-05,62,50,59,43,59,55,48,50,29,48,75,47,51,63,63,48,53,31,43,58,60,48,53,49,55,23,33,61,41,53,51,48,50,25,50,59,62,56,53,48,45,29,55,61,31,52,59,51,54,6
