Week,NV,NE,MA,MI,MN,NJ,MO,MT,NH,MS,NM,NY,NC,SC,OH,OK,OR,PA,RI,ND,SD,TN,TX,WY,VA,WV,VT,WI,WA,UT,AL,AK,AZ,CA,GA,DE,CO,CT,FL,AR,LA,IA,HI,ID,IL,KY,ME,MD,KS,IN
2018-11-18,23,23,20,25,25,20,26,22,20,36,25,23,27,26,27,28,20,24,15,23,27,28,32,19,24,25,11,24,19,19,27,16,25,22,27,28,20,25,25,23,22,15,21,22,25,30,29,24,22,27
2018-11-25,33,26,32,31,31,29,31,23,31,35,40,31,33,31,35,35,28,29,25,23,34,34,38,23,34,30,20,32,26,20,38,27,29,27,34,29,22,30,32,36,31,26,25,16,28,36,30,30,23,30
2018-12-02,30,27,26,33,36,28,29,20,36,39,34,31,32,31,37,34,30,32,34,10,31,38,38,20,33,29,15,31,26,21,39,31,34,27,33,32,21,31,33,33,36,28,26,22,29,35,33,33,29,36
2018-12-09,27,23,24,29,30,27,28,28,21,31,30,30,27,26,34,28,27,29,21,19,31,31,36,39,25,22,27,24,25,20,35,24,31,27,31,33,22,31,30,26,33,26,28,20,28,32,29,30,24,33
2018-12-16,30,22,22,26,32,24,26,17,32,31,31,27,31,28,30,35,24,24,30,10,41,33,36,18,26,24,24,27,22,20,35,19,29,26,29,22,21,25,26,30,29,19,18,18,25,32,31,28,29,26
2018-12-23,16,22,22,22,26,23,26,10,26,26,20,25,26,21,26,27,20,23,20,18,25,27,27,9,27,27,17,24,20,19,28,25,24,23,26,31,20,22,24,22,28,16,25,17,27,26,30,22,24,25
2018-12-30,28,23,27,28,28,27,28,20,26,31,25,30,30,29,35,28,22,30,23,28,21,36,31,22,30,30,16,29,25,19,38,16,26,27,34,19,18,31,30,30,28,27,15,25,31,38,30,27,21,36
2019-01-06,30,27,28,29,28,28,33,18,25,38,32,28,31,31,35,38,29,31,21,32,27,41,36,11,31,34,16,32,27,23,40,26,27,28,35,22,25,34,30,30,30,23,27,28,28,39,26,23,32,29
2019-01-13,30,28,26,30,29,27,31,22,26,34,23,27,31,29,37,35,26,29,19,27,37,38,36,18,31,34,37,30,25,26,39,21,30,29,32,33,22,29,33,34,31,24,25,33,31,43,35,30,31,30
2019-01-20,31,23,28,30,27,28,31,28,31,37,21,30,35,34,39,34,27,30,19,36,34,38,38,30,30,35,23,32,27,22,47,20,30,29,33,29,24,33,33,37,34,27,28,25,30,43,35,32,31,33
2019-01-27,35,29,27,27,29,28,32,27,28,35,30,29,33,32,35,36,29,30,26,24,28,39,37,13,29,34,26,28,27,22,39,22,31,28,33,24,24,30,33,33,37,26,34,18,27,39,38,29,29,27
2019-02-03,32,24,29,28,28,26,34,29,39,32,31,31,33,35,34,30,24,32,26,27,25,36,38,31,33,36,24,32,24,21,45,15,28,27,34,37,22,29,33,28,31,26,21,21,28,39,36,32,28,34
2019-02-10,31,24,26,29,33,24,32,23,33,33,33,28,34,30,37,34,23,27,31,26,26,38,37,26,31,43,27,38,22,22,35,24,32,28,34,24,26,27,32,30,34,26,33,20,30,40,28,29,27,36
2019-02-17,33,21,25,31,33,26,33,27,38,39,30,30,32,36,38,36,24,30,26,22,28,35,38,13,28,36,23,29,23,21,37,11,28,31,34,26,23,30,33,34,35,25,23,21,29,37,34,26,29,32
2019-02-24,30,31,27,30,31,24,34,19,36,43,36,28,31,33,36,36,23,31,17,21,26,38,39,24,30,37,31,33,26,22,44,27,31,30,36,27,28,32,34,32,34,21,30,22,30,38,37,28,28,34
2019-03-03,37,24,29,30,30,27,34,24,21,37,35,31,34,31,38,34,25,33,32,30,40,42,36,27,30,35,20,33,24,21,40,20,31,29,34,20,26,34,33,27,35,26,25,25,31,38,34,29,26,35
2019-03-10,31,21,30,30,31,26,33,36,32,32,32,30,32,31,38,35,30,30,28,23,26,37,37,33,35,39,26,29,26,25,37,32,31,29,33,30,22,30,35,30,35,25,26,25,29,36,30,29,27,34
2019-03-17,26,29,27,34,34,29,32,26,24,51,32,27,33,37,39,40,30,30,25,23,36,36,37,24,34,40,27,35,26,21,41,27,30,32,35,30,23,35,33,30,31,23,34,28,31,34,26,32,30,34
2019-03-24,32,24,31,31,30,30,30,24,30,36,27,31,31,33,36,36,24,31,33,24,29,35,39,24,31,32,19,29,26,26,41,27,31,30,34,29,24,30,32,22,28,24,29,25,30,41,29,36,29,32
2019-03-31,30,30,26,31,32,30,29,23,29,37,30,29,31,29,36,30,26,30,22,23,25,32,39,20,33,38,17,29,26,21,35,26,30,27,35,21,25,32,33,28,34,27,30,26,30,43,18,31,29,32
2019-04-07,33,29,26,30,32,29,30,18,18,38,27,28,31,31,38,35,31,29,31,24,31,37,38,12,30,40,16,33,25,20,34,17,31,29,34,20,27,27,34,33,33,31,27,22,29,37,39,30,32,34
2019-04-14,26,29,27,31,33,26,31,27,35,33,23,28,31,28,35,33,28,31,25,29,36,33,37,25,30,47,23,32,23,20,40,28,30,29,32,25,24,31,31,28,32,20,19,26,28,33,36,28,28,32
2019-04-21,30,26,27,30,36,27,30,20,25,33,33,29,30,32,37,34,29,29,29,23,36,38,35,16,29,41,21,35,27,22,39,23,30,29,30,31,24,32,34,34,32,27,32,23,29,40,36,31,29,32
2019-04-28,30,21,24,31,33,28,30,23,29,32,30,30,29,31,34,32,27,30,24,23,16,36,36,19,32,42,22,32,25,22,33,25,32,29,31,25,22,31,33,33,30,23,28,20,26,35,28,29,30,37
2019-05-05,30,26,27,29,29,27,32,18,21,30,27,28,33,27,35,28,26,28,24,25,41,33,34,16,28,39,24,31,23,19,36,28,28,29,31,27,23,34,30,31,35,25,15,20,27,41,24,27,29,29
2019-05-12,29,25,26,29,29,24,30,34,30,34,33,28,32,31,32,33,29,31,26,26,32,36,35,15,31,36,26,31,26,19,37,22,31,29,31,23,24,28,34,36,30,26,22,27,28,34,27,32,26,31
2019-05-19,28,25,26,30,32,27,29,19,32,34,28,29,28,34,34,34,29,29,25,20,36,37,35,12,31,33,16,29,25,21,35,26,30,29,33,21,23,28,33,27,32,20,34,17,29,37,28,26,25,35
2019-05-26,27,24,24,27,29,27,27,23,27,39,21,27,31,30,30,27,25,28,27,25,33,31,35,13,29,39,32,29,25,23,35,16,30,28,29,31,23,28,32,31,31,22,24,19,26,33,31,27,26,32
2019-06-02,33,24,27,29,30,27,32,30,26,36,36,27,33,29,34,28,24,29,25,20,29,34,37,16,30,34,25,26,23,26,38,22,30,29,30,21,23,27,34,24,29,20,34,29,25,38,27,28,28,31
2019-06-09,31,32,28,31,27,25,28,24,26,33,26,26,33,33,36,34,25,28,29,23,30,34,35,19,31,37,13,28,22,20,39,15,30,28,34,31,24,23,33,31,29,29,32,20,27,36,19,28,26,31
2019-06-16,30,22,29,28,32,25,32,23,23,29,34,28,33,30,38,36,24,30,25,27,26,36,38,14,33,40,19,32,25,27,34,28,31,29,33,26,24,29,32,32,31,28,26,31,27,37,35,25,24,35
2019-06-23,29,31,28,30,31,26,32,30,35,43,25,28,36,35,36,31,29,31,23,24,37,37,38,15,32,29,17,32,24,25,38,19,31,31,37,28,23,32,35,29,37,25,31,24,30,41,31,31,29,35
2019-06-30,28,23,26,25,27,25,31,15,24,39,31,26,28,27,34,34,24,25,18,28,39,34,34,23,30,34,15,30,25,24,39,29,27,27,28,14,20,29,30,28,31,25,22,25,27,33,20,26,31,29
2019-07-07,30,25,28,29,32,25,33,20,21,40,31,29,32,32,35,34,30,31,18,29,16,38,38,23,31,34,16,33,26,25,34,19,30,30,32,20,20,33,32,32,25,29,23,25,27,33,27,27,33,35
2019-07-14,32,27,25,28,28,26,30,28,32,33,33,26,31,27,37,38,28,28,23,34,27,34,39,28,33,38,29,28,26,27,41,22,31,29,35,20,22,31,32,36,29,25,23,23,26,36,36,28,27,33
2019-07-21,30,28,23,27,24,26,33,26,34,30,33,26,32,32,36,33,24,29,36,20,25,36,37,17,28,31,16,29,23,25,41,13,29,29,34,18,24,25,31,27,30,22,25,20,28,36,21,26,30,32
2019-07-28,24,22,24,28,32,25,30,21,12,33,27,26,32,29,34,30,26,30,27,27,27,35,36,12,29,34,15,32,20,25,40,17,32,29,30,29,24,29,30,21,29,22,22,20,29,41,27,26,24,29
2019-08-04,25,21,25,30,28,26,33,22,19,32,23,28,29,32,37,32,21,28,24,31,25,39,36,33,32,31,13,31,25,19,36,30,30,30,31,17,23,26,32,26,36,27,21,19,25,34,18,29,26,29
2019-08-11,31,22,24,32,29,27,34,20,28,33,25,30,33,32,36,35,29,29,24,25,23,37,37,32,32,39,39,31,23,21,38,21,31,30,29,24,21,36,30,32,30,27,30,20,30,35,29,29,26,30
2019-08-18,28,30,26,29,30,28,36,21,25,41,24,27,33,32,35,32,32,28,27,33,31,33,37,15,29,35,24,29,26,23,41,10,30,29,34,29,24,28,32,34,35,24,27,27,28,33,32,30,30,34
2019-08-25,28,26,27,30,31,27,33,18,29,41,26,28,33,33,33,36,30,30,21,32,23,35,36,22,32,30,19,28,26,20,34,19,30,29,33,24,24,29,29,35,28,25,28,21,30,37,32,30,30,34
2019-09-01,33,23,25,28,29,27,29,21,25,36,27,25,28,26,34,33,25,27,24,35,32,34,37,9,28,32,21,30,24,21,37,19,31,27,32,15,21,27,28,29,32,29,27,21,26,38,25,27,29,26
2019-09-08,28,26,27,30,28,30,31,25,27,43,32,29,34,28,35,35,28,29,22,24,23,33,35,21,30,44,30,34,23,24,39,27,31,29,36,24,25,29,31,31,38,26,29,25,29,39,33,27,30,35
2019-09-15,32,24,28,26,34,30,30,28,27,35,35,29,33,34,37,36,22,29,29,19,28,41,39,25,33,39,29,32,24,24,46,27,29,30,36,22,27,32,34,42,37,27,25,27,29,42,31,33,25,33
2019-09-22,33,26,29,32,35,30,32,17,34,41,32,28,35,33,35,35,29,30,28,26,23,36,40,16,34,41,23,32,26,22,39,28,34,30,36,27,23,34,35,28,38,24,30,23,33,32,31,30,33,34
2019-09-29,29,24,28,33,33,30,34,22,27,41,31,31,33,33,37,32,22,30,24,26,27,38,38,41,33,37,27,31,26,23,36,21,32,30,34,23,27,28,33,36,37,26,28,26,31,40,30,31,28,33
2019-10-06,38,23,29,31,33,28,34,19,29,35,29,30,35,32,35,40,27,31,26,29,38,35,38,11,31,38,23,34,28,24,40,26,34,29,36,20,23,28,35,37,35,24,21,23,32,40,36,35,29,34
2019-10-13,37,27,28,30,37,28,34,26,22,32,32,28,31,30,36,40,29,31,25,33,51,41,38,22,31,42,21,31,28,26,42,28,33,29,32,24,24,29,35,34,33,21,40,24,30,40,33,31,32,35
2019-10-20,32,24,31,35,37,27,32,24,31,39,38,31,34,37,35,34,28,31,31,26,35,33,38,21,32,38,20,31,25,25,40,28,30,31,37,26,28,33,33,30,32,28,31,28,32,36,36,32,31,35
2019-10-27,37,25,25,29,35,27,33,20,37,33,25,28,32,37,35,36,24,29,25,41,27,34,37,29,31,37,23,36,25,23,41,22,33,28,34,24,23,34,34,28,32,26,28,22,26,35,32,30,26,35
2019-11-03,26,26,29,31,35,28,37,31,28,33,27,28,35,33,37,36,29,30,27,30,33,36,40,5,33,39,24,37,27,25,34,26,32,29,37,29,26,27,36,31,35,22,22,23,32,39,21,30,31,32
2019-11-10,32,23,26,26,34,30,29,26,29,27,31,27,32,32,33,35,25,31,27,31,28,36,36,23,31,26,19,31,25,25,36,32,35,28,31,24,24,31,32,33,32,26,26,28,29,38,27,29,28,33
2019-11-17,30,30,29,31,34,27,31,26,31,39,27,29,35,35,38,37,27,32,29,30,36,37,39,16,32,38,22,35,25,25,37,24,30,29,34,23,26,30,32,31,31,28,28,20,30,42,36,27,28,34
2019-11-24,25,20,24,27,28,24,23,22,27,31,22,27,28,26,34,26,23,25,28,20,44,34,34,19,24,31,20,26,18,21,33,23,27,24,34,21,16,26,28,28,30,21,31,11,25,26,22,25,19,29
2019-12-01,31,28,24,29,30,25,32,24,27,32,26,27,32,30,38,34,29,29,19,23,33,32,36,20,29,35,30,32,28,23,36,29,32,28,31,27,24,30,32,32,34,30,27,24,29,35,24,29,31,31
2019-12-08,32,29,25,31,28,26,28,28,28,31,28,29,27,30,32,30,27,29,26,35,33,34,35,13,27,33,17,29,24,27,30,17,28,28,32,21,23,29,33,31,29,21,30,25,28,35,25,25,31,26
2019-12-15,33,21,24,28,32,23,24,16,27,27,36,27,29,26,29,29,27,27,22,22,36,32,34,12,29,35,19,30,24,23,35,25,33,26,27,32,20,26,29,23,26,23,35,25,25,34,33,26,25,28
2019-12-22,22,19,22,23,27,21,27,16,14,28,26,25,25,27,27,29,21,25,22,9,26,26,31,12,26,28,13,30,23,20,32,20,25,25,29,18,22,23,27,21,24,21,20,18,23,33,19,22,22,28
2019-12-29,25,20,25,28,26,27,28,23,22,36,26,27,28,31,29,33,26,28,21,17,27,31,35,17,27,31,17,27,21,19,32,20,30,28,29,20,24,31,27,34,24,22,25,19,24,28,31,26,27,31
2020-01-05,35,25,26,30,37,30,29,31,32,33,30,28,32,34,38,34,27,31,27,19,39,38,40,31,28,41,15,36,24,24,41,25,33,30,34,22,27,32,31,32,33,22,26,29,29,42,32,32,30,34
2020-01-12,30,28,27,35,32,29,31,20,31,34,27,31,32,32,38,38,30,30,25,21,36,36,39,24,33,35,18,30,22,26,44,21,34,30,36,23,25,30,35,30,31,23,27,29,31,40,30,27,33,36
2020-01-19,36,28,27,36,36,30,33,24,37,35,31,32,35,35,37,37,29,30,22,31,43,37,41,18,32,43,20,34,27,26,44,22,36,31,35,33,25,32,33,35,35,27,25,25,31,40,32,31,26,36
2020-01-26,34,31,30,33,34,29,38,23,36,31,37,31,34,36,39,39,31,31,22,27,34,40,42,39,31,40,24,34,26,27,42,16,32,29,35,23,27,30,35,37,34,27,28,27,33,40,33,27,34,33
2020-02-02,35,32,26,31,34,31,33,20,31,35,35,31,34,29,35,32,29,31,34,31,31,38,39,13,30,42,25,38,26,23,40,24,32,31,33,29,24,31,35,29,37,27,36,24,30,43,34,31,32,36
2020-02-09,38,27,32,30,35,29,32,29,29,34,27,31,31,31,37,35,26,31,26,32,33,38,42,26,33,38,33,35,26,24,41,20,30,30,39,32,26,29,36,33,35,28,24,22,32,32,33,30,38,33
2020-02-16,37,29,27,35,36,31,36,24,28,41,29,32,35,33,39,38,29,34,31,27,37,36,42,24,33,48,34,37,26,30,44,21,31,32,35,30,24,32,35,38,37,30,28,25,33,41,43,32,33,31
2020-02-23,35,31,32,32,36,31,33,22,30,45,32,32,34,29,36,39,30,32,27,23,32,39,42,43,35,39,27,34,29,25,43,23,35,32,37,33,25,32,35,38,33,28,29,30,32,43,24,33,32,38
2020-03-01,30,30,29,29,33,27,36,21,34,32,32,29,34,37,37,27,27,30,33,30,30,35,42,28,33,36,31,36,25,23,43,19,34,32,29,27,23,29,34,38,32,24,29,28,31,35,31,33,30,31
2020-03-08,31,29,29,30,34,27,32,27,33,37,27,29,33,29,35,32,27,29,27,25,34,39,38,30,31,36,24,32,26,21,35,17,32,30,34,19,23,27,33,28,33,25,33,24,31,34,31,29,27,31
2020-03-15,27,26,30,29,30,27,28,18,16,33,30,30,30,29,32,34,28,28,19,13,32,31,34,28,28,35,26,29,22,20,35,27,29,29,32,22,23,31,33,29,30,24,21,23,27,29,22,27,28,27
2020-03-22,35,28,28,32,30,28,32,14,28,28,23,31,29,29,32,32,24,27,18,25,38,33,38,13,32,37,16,27,24,20,34,18,31,31,32,29,21,31,33,31,36,26,24,21,28,37,23,30,26,34
2020-03-29,35,25,25,29,27,26,30,21,23,32,24,29,27,31,31,30,23,26,21,33,24,32,34,12,28,35,20,27,23,20,33,9,28,30,30,24,23,25,30,32,32,21,32,22,26,29,31,28,24,31
2020-04-05,33,24,24,27,28,25,28,25,25,31,26,29,27,29,31,32,26,25,17,21,33,31,34,25,29,36,24,28,19,21,37,18,25,27,32,20,21,24,32,26,31,22,30,20,25,31,19,25,28,30
2020-04-12,31,19,22,24,29,25,25,18,21,34,29,27,26,25,28,26,21,25,19,23,22,28,33,14,26,27,24,28,22,22,32,19,25,26,28,23,20,21,32,28,26,19,24,14,26,32,19,27,29,30
2020-04-19,28,23,23,26,30,23,23,14,24,30,22,25,26,23,31,28,24,24,22,24,23,27,34,20,28,30,17,26,20,18,34,17,27,26,30,17,19,23,30,24,26,27,24,21,26,31,22,23,27,29
2020-04-26,27,17,24,25,29,24,27,19,22,32,29,27,28,30,30,26,24,24,22,26,28,28,33,30,28,28,11,31,21,21,31,21,29,29,28,30,22,25,31,23,29,20,37,22,26,32,20,28,25,30
2020-05-03,36,20,21,24,27,23,27,12,23,33,22,27,24,24,27,28,24,25,20,18,22,29,32,15,25,28,14,30,20,17,31,18,27,26,28,26,21,23,28,25,28,22,22,17,26,32,30,26,27,29
2020-05-10,34,21,20,24,28,23,26,22,18,26,25,24,27,28,27,26,23,24,23,19,26,27,31,13,24,33,17,24,22,21,32,25,27,27,26,23,19,24,30,25,29,20,25,17,22,34,31,23,26,30
2020-05-17,32,27,22,23,27,21,28,13,19,29,23,25,27,27,29,32,24,26,21,23,32,32,32,17,27,33,18,27,24,23,33,36,31,27,31,19,20,23,31,27,23,25,32,24,24,29,28,25,28,31
2020-05-24,29,17,21,23,25,22,24,19,23,29,24,25,27,28,30,27,24,26,18,24,6,31,32,26,27,22,26,26,22,23,34,22,27,26,30,20,19,23,29,25,27,20,24,28,24,29,24,24,23,27
2020-05-31,31,20,21,24,26,21,25,16,19,34,24,24,27,25,31,32,24,26,21,26,32,31,34,17,27,31,18,24,20,21,33,18,28,25,31,19,22,27,31,30,25,21,22,27,26,32,23,25,25,28
2020-06-07,34,21,24,26,27,25,32,18,26,26,26,24,31,29,33,33,26,26,19,22,16,33,37,20,28,40,19,29,22,23,39,20,29,28,30,24,21,25,31,30,33,23,26,22,26,34,37,24,24,31
2020-06-14,34,20,24,27,29,22,32,22,23,28,30,27,30,27,33,28,26,27,28,26,35,34,36,21,27,37,16,25,23,24,35,18,31,30,30,25,19,28,32,28,31,24,21,23,25,31,25,26,26,31
2020-06-21,28,29,23,29,27,26,31,19,21,26,31,27,31,31,34,35,25,28,21,24,35,32,36,31,30,30,24,28,23,21,40,18,29,29,32,25,24,23,33,25,32,25,29,20,27,33,32,27,29,28
2020-06-28,33,25,24,26,29,25,28,14,27,28,27,25,29,25,34,34,25,27,21,27,29,32,36,16,25,36,30,31,22,23,31,18,28,28,29,21,21,26,29,27,36,22,35,19,25,36,24,25,27,29
2020-07-05,31,21,24,26,25,26,27,24,26,35,26,27,32,29,34,34,27,28,25,26,25,33,38,19,28,30,26,27,25,23,39,11,29,28,32,29,22,31,32,31,34,23,38,24,26,32,28,26,21,31
